"","Preffered_Vcmax.9.comps"
"Wave_900",-9.56350050566903
"Wave_901",-9.94787351155829
"Wave_902",-10.0897732645372
"Wave_903",-10.5708162204991
"Wave_904",-9.75348184829739
"Wave_905",-8.80479338681704
"Wave_906",-7.81528005541374
"Wave_907",-6.96908569265382
"Wave_908",-6.60143986922352
"Wave_909",-6.61526855667075
"Wave_910",-6.36066637832372
"Wave_911",-6.17022304833733
"Wave_912",-5.90412018659039
"Wave_913",-5.48038659861505
"Wave_914",-4.97977682657623
"Wave_915",-5.23250830438154
"Wave_916",-5.91498200365442
"Wave_917",-5.72999878446868
"Wave_918",-4.42697388016551
"Wave_919",-4.61499229977779
"Wave_920",-4.54675062287398
"Wave_921",-3.70597196255403
"Wave_922",-4.32381620422739
"Wave_923",-3.98395182651401
"Wave_924",-4.32200415598908
"Wave_925",-3.27248647339999
"Wave_926",-1.65724047164413
"Wave_927",-2.46338068883874
"Wave_928",-2.48104062290669
"Wave_929",-1.42950025555703
"Wave_930",0.120857461696539
"Wave_931",0.251979512752491
"Wave_932",0.173521341246328
"Wave_933",0.451827705570776
"Wave_934",0.762834636508939
"Wave_935",1.59698616501531
"Wave_936",1.67122050242122
"Wave_937",2.15771488470387
"Wave_938",3.00041216008989
"Wave_939",2.17097817755649
"Wave_940",2.50084536168065
"Wave_941",4.56560619339115
"Wave_942",4.11286379290785
"Wave_943",4.20368032993705
"Wave_944",4.9480447471179
"Wave_945",5.0555557447347
"Wave_946",5.69454534260713
"Wave_947",5.94610000540853
"Wave_948",5.73898810594472
"Wave_949",6.59072894081603
"Wave_950",8.79987069341186
"Wave_951",12.3371953793473
"Wave_952",12.6458507448473
"Wave_953",13.3086245031582
"Wave_954",13.7579580215198
"Wave_955",12.6376645228262
"Wave_956",14.6231692069343
"Wave_957",15.7789665291588
"Wave_958",15.1729017021265
"Wave_959",16.1432627361916
"Wave_960",18.9105537369981
"Wave_961",20.315933421331
"Wave_962",20.6523870962629
"Wave_963",22.7325025405685
"Wave_964",23.6764255142745
"Wave_965",23.6555068714456
"Wave_966",23.1246616765676
"Wave_967",23.7836961100331
"Wave_968",25.6119108182854
"Wave_969",29.3753684529477
"Wave_970",29.7936224675433
"Wave_971",29.2827345301586
"Wave_972",30.3726129683472
"Wave_973",31.1731405231698
"Wave_974",32.6488776320975
"Wave_975",32.7519127074805
"Wave_976",33.9190850341016
"Wave_977",33.8127369697029
"Wave_978",33.8016480362993
"Wave_979",36.4695361620594
"Wave_980",38.3523166714916
"Wave_981",37.3604753837449
"Wave_982",34.7786150667096
"Wave_983",33.1981197000881
"Wave_984",34.2715543275925
"Wave_985",36.9956572400884
"Wave_986",37.9489528793988
"Wave_987",39.6122011829654
"Wave_988",38.6033262105354
"Wave_989",36.8670040503527
"Wave_990",39.1066488113475
"Wave_991",42.4497240171169
"Wave_992",39.9722476869285
"Wave_993",39.3301490660138
"Wave_994",41.8495004773493
"Wave_995",40.892243031578
"Wave_996",42.0449734981761
"Wave_997",43.5253242991215
"Wave_998",45.0575015559316
"Wave_999",45.2953094307882
"Wave_1000",46.9233069340062
"Wave_1001",48.8662069012584
"Wave_1002",51.1411528386177
"Wave_1003",51.9661494349274
"Wave_1004",50.2783015883834
"Wave_1005",49.7703630395039
"Wave_1006",51.9113158469402
"Wave_1007",50.057507517058
"Wave_1008",45.2187661569655
"Wave_1009",44.6069831367311
"Wave_1010",42.9194205071343
"Wave_1011",41.6641107911564
"Wave_1012",44.0752954009102
"Wave_1013",45.3439830688367
"Wave_1014",44.7726513946683
"Wave_1015",44.4194668384403
"Wave_1016",45.6977276929998
"Wave_1017",45.9528273179098
"Wave_1018",45.4702585123888
"Wave_1019",45.6114951371736
"Wave_1020",43.6550292961094
"Wave_1021",39.6357148254296
"Wave_1022",38.1523331584617
"Wave_1023",35.8856418118317
"Wave_1024",36.3721256057508
"Wave_1025",42.7462911142895
"Wave_1026",44.1159115402305
"Wave_1027",45.2574503593063
"Wave_1028",44.8427262346289
"Wave_1029",41.0777289926106
"Wave_1030",36.844022080563
"Wave_1031",35.2353603014365
"Wave_1032",34.1567519739872
"Wave_1033",31.9660857267841
"Wave_1034",30.7566032744211
"Wave_1035",30.5393014682601
"Wave_1036",30.7412489736357
"Wave_1037",31.5215522269575
"Wave_1038",33.4417847614003
"Wave_1039",32.8257498353328
"Wave_1040",28.8482548343559
"Wave_1041",28.0653893935907
"Wave_1042",28.9683270782617
"Wave_1043",28.2691275809791
"Wave_1044",27.500419215753
"Wave_1045",28.0155820188482
"Wave_1046",28.2267286578468
"Wave_1047",28.2503296040117
"Wave_1048",28.4040671006403
"Wave_1049",28.8162307301194
"Wave_1050",29.548136736094
"Wave_1051",29.7324115321777
"Wave_1052",29.3011801895376
